Res1;Res2;Res3;Res4;Res5;Res6;Res7
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,225343301;1,330999661;0,538968515;0,887005586;0,385138963;0,034997329;0,819747529
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,124492081;1,816769406;0,883885355;1,538918112;0,263833101;0,019334457;7,18330508
0,201213151;1,078993288;0,638301589;2,592620796;0,709739699;0,031249755;1,576744605
0,201213151;1,078993288;0,638301589;2,592620796;0,709739699;0,031249755;1,576744605
0,201213151;1,078993288;0,638301589;2,592620796;0,709739699;0,031249755;1,576744605
0,201213151;1,078993288;0,638301589;2,592620796;0,709739699;0,031249755;1,576744605
0,201213151;1,078993288;0,638301589;2,592620796;0,709739699;0,031249755;1,576744605
0,201213151;1,078993288;0,638301589;2,592620796;0,709739699;0,031249755;1,576744605
0,201213151;1,078993288;0,638301589;2,592620796;0,709739699;0,031249755;1,576744605
0,201213151;1,078993288;0,638301589;2,592620796;0,709739699;0,031249755;1,576744605
0,201213151;1,078993288;0,638301589;2,592620796;0,709739699;0,031249755;1,576744605
0,201213151;1,078993288;0,638301589;2,592620796;0,709739699;0,031249755;1,576744605
0,201213151;1,078993288;0,638301589;2,592620796;0,709739699;0,031249755;1,576744605
